ICU rule-based number formatters: every rule set, formatting the number 2143

  This file is part of OmegaT, released under the GNU General Public License
  version 3 or (at your option) any later version. OmegaT is distributed
  WITHOUT ANY WARRANTY, without even the implied warranty of MERCHANTABILITY or
  FITNESS FOR A PARTICULAR PURPOSE - see the GNU General Public License for more
  details.

  Source      com.ibm.icu:icu4j 78.3, the version this build ships.
  Method      RuleBasedNumberFormat.getRuleSetNames() for the NUMBERING_SYSTEM,
              SPELLOUT and ORDINAL formatters of every available language, then
              format(2143) for each rule set.
  Caveat      The default locale is set to the root locale before asking. A
              language without rules of its own otherwise inherits the rules of
              the JVM default language, which makes it look as though Basque,
              say, spelled its numbers in German.
  Omitted     192 languages that have no rules of their own and fall back to the
              root rules, printing digits rather than words.
  Note        The numbering systems in the root locale are script-bound and
              locale-independent; OmegaT's NumeralValueParser reads eleven of
              them, and %spellout-numbering for zh, zh-Hant and ja.

 no.  locale    type       rule set                                 2143
 623  ru        spellout   %spellout-cardinal-neuter-dative         двум тысячам ста сорока трем
 624  ru        spellout   %spellout-cardinal-neuter-genitive       двух тысяч ста сорока трех
 625  ru        spellout   %spellout-cardinal-neuter-instrumental   двумя тысячами ста сорока тремя
 626  ru        spellout   %spellout-cardinal-neuter-locative       двух тысячах ста сорока трех
 627  ru        spellout   %spellout-cardinal-neuter-prepositional  двух тысячах ста сорока трех
 628  ru        spellout   %spellout-cardinal-plural                две тысячи сто сорок три
 629  ru        spellout   %spellout-cardinal-plural-ablative       двумя тысячами ста сорока тремя
 630  ru        spellout   %spellout-cardinal-plural-accusative     две тысячи сто сорок три
 631  ru        spellout   %spellout-cardinal-plural-dative         двум тысячам ста сорока трем
 632  ru        spellout   %spellout-cardinal-plural-genitive       двух тысяч ста сорока трех
 633  ru        spellout   %spellout-cardinal-plural-instrumental   двумя тысячами ста сорока тремя
 634  ru        spellout   %spellout-cardinal-plural-locative       двух тысячах ста сорока трех
 635  ru        spellout   %spellout-cardinal-plural-prepositional  двух тысячах ста сорока трех
 636  ru        spellout   %spellout-numbering                      две тысячи сто сорок три
 637  ru        spellout   %spellout-numbering-year                 две тысячи сто сорок третьего
 638  ru        spellout   %spellout-ordinal-feminine               две тысячи сто сорок третья
 639  ru        spellout   %spellout-ordinal-feminine-ablative      две тысячи сто сорок третьей
 640  ru        spellout   %spellout-ordinal-feminine-accusative    две тысячи сто сорок третью
 641  ru        spellout   %spellout-ordinal-feminine-dative        две тысячи сто сорок третьей
 642  ru        spellout   %spellout-ordinal-feminine-genitive      две тысячи сто сорок третьей
 643  ru        spellout   %spellout-ordinal-feminine-instrumental  две тысячи сто сорок третьей
 644  ru        spellout   %spellout-ordinal-feminine-locative      две тысячи сто сорок третьей
 645  ru        spellout   %spellout-ordinal-feminine-prepositional две тысячи сто сорок третьей
 646  ru        spellout   %spellout-ordinal-masculine              две тысячи сто сорок третий
 647  ru        spellout   %spellout-ordinal-masculine-ablative     две тысячи сто сорок третьим
 648  ru        spellout   %spellout-ordinal-masculine-accusative   две тысячи сто сорок третий
 649  ru        spellout   %spellout-ordinal-masculine-dative       две тысячи сто сорок третьому
 650  ru        spellout   %spellout-ordinal-masculine-genitive     две тысячи сто сорок третьего
 651  ru        spellout   %spellout-ordinal-masculine-instrumental две тысячи сто сорок третьим
 652  ru        spellout   %spellout-ordinal-masculine-locative     две тысячи сто сорок третьем
 653  ru        spellout   %spellout-ordinal-masculine-prepositional две тысячи сто сорок третьем
 654  ru        spellout   %spellout-ordinal-neuter                 две тысячи сто сорок третье
 655  ru        spellout   %spellout-ordinal-neuter-ablative        две тысячи сто сорок третьим
 656  ru        spellout   %spellout-ordinal-neuter-accusative      две тысячи сто сорок третье
 657  ru        spellout   %spellout-ordinal-neuter-dative          две тысячи сто сорок третьому
 658  ru        spellout   %spellout-ordinal-neuter-genitive        две тысячи сто сорок третьего
 659  ru        spellout   %spellout-ordinal-neuter-instrumental    две тысячи сто сорок третьим
 660  ru        spellout   %spellout-ordinal-neuter-locative        две тысячи сто сорок третьем
 661  ru        spellout   %spellout-ordinal-neuter-prepositional   две тысячи сто сорок третьем
 662  ru        spellout   %spellout-ordinal-plural                 две тысячи сто сорок третьи
 663  ru        spellout   %spellout-ordinal-plural-ablative        две тысячи сто сорок третьими
 664  ru        spellout   %spellout-ordinal-plural-accusative      две тысячи сто сорок третьи
 665  ru        spellout   %spellout-ordinal-plural-dative          две тысячи сто сорок третьим
 666  ru        spellout   %spellout-ordinal-plural-genitive        две тысячи сто сорок третьих
 667  ru        spellout   %spellout-ordinal-plural-instrumental    две тысячи сто сорок третьими
 668  ru        spellout   %spellout-ordinal-plural-locative        две тысячи сто сорок третьих
 669  ru        spellout   %spellout-ordinal-plural-prepositional   две тысячи сто сорок третьих
 670  ru        ordinal    %digits-ordinal                          2 143
 671  ru        ordinal    %digits-ordinal-feminine                 2 143-я
 672  ru        ordinal    %digits-ordinal-feminine-ablative        2 143-й
 673  ru        ordinal    %digits-ordinal-feminine-accusative      2 143-ю
 674  ru        ordinal    %digits-ordinal-feminine-dative          2 143-й
 675  ru        ordinal    %digits-ordinal-feminine-genitive        2 143-й
 676  ru        ordinal    %digits-ordinal-feminine-instrumental    2 143-й
 677  ru        ordinal    %digits-ordinal-feminine-locative        2 143-й
 678  ru        ordinal    %digits-ordinal-feminine-prepositional   2 143-й
 679  ru        ordinal    %digits-ordinal-masculine                2 143-й
 680  ru        ordinal    %digits-ordinal-masculine-ablative       2 143-м
 681  ru        ordinal    %digits-ordinal-masculine-accusative     2 143-й
 682  ru        ordinal    %digits-ordinal-masculine-dative         2 143-му
 683  ru        ordinal    %digits-ordinal-masculine-genitive       2 143-го
 684  ru        ordinal    %digits-ordinal-masculine-instrumental   2 143-м
 685  ru        ordinal    %digits-ordinal-masculine-locative       2 143-м
 686  ru        ordinal    %digits-ordinal-masculine-prepositional  2 143-м
 687  ru        ordinal    %digits-ordinal-neuter                   2 143-е
 688  ru        ordinal    %digits-ordinal-neuter-ablative          2 143-м
 689  ru        ordinal    %digits-ordinal-neuter-accusative        2 143-е
 690  ru        ordinal    %digits-ordinal-neuter-dative            2 143-му
 691  ru        ordinal    %digits-ordinal-neuter-genitive          2 143-го
 692  ru        ordinal    %digits-ordinal-neuter-instrumental      2 143-м
 693  ru        ordinal    %digits-ordinal-neuter-locative          2 143-м
 694  ru        ordinal    %digits-ordinal-neuter-prepositional     2 143-м
 695  ru        ordinal    %digits-ordinal-plural                   2 143-e
 696  ru        ordinal    %digits-ordinal-plural-ablative          2 143-ми
 697  ru        ordinal    %digits-ordinal-plural-accusative        2 143-e
 698  ru        ordinal    %digits-ordinal-plural-dative            2 143-м
 699  ru        ordinal    %digits-ordinal-plural-genitive          2 143-х
 700  ru        ordinal    %digits-ordinal-plural-instrumental      2 143-ми
 701  ru        ordinal    %digits-ordinal-plural-locative          2 143-х
 702  ru        ordinal    %digits-ordinal-plural-prepositional     2 143-х
 703  se        spellout   %spellout-cardinal                       guokte­duhát okta­čuođi­njeallje­logi­golbma
 704  se        spellout   %spellout-numbering                      guokte­duhát okta­čuođi­njeallje­logi­golbma
 705  se        spellout   %spellout-numbering-year                 guokte­logi­okta­čuođi­njeallje­logi­golbma
 706  se        ordinal    %digits-ordinal                          2 143.
 707  sk        spellout   %spellout-cardinal-feminine              dve tisíc jedna­sto štyridsať­tri
 708  sk        spellout   %spellout-cardinal-masculine             dve tisíc jedna­sto štyridsať­tri
 709  sk        spellout   %spellout-cardinal-neuter                dve tisíc jedna­sto štyridsať­tri
 710  sk        spellout   %spellout-numbering                      dve tisíc jedna­sto štyridsať­tri
 711  sk        spellout   %spellout-numbering-year                 dve tisíc jedna­sto štyridsať­tri
 712  sk        ordinal    %digits-ordinal                          2 143.
 713  sl        spellout   %spellout-cardinal-feminine              dvije tisuće sto štirideset tri
 714  sl        spellout   %spellout-cardinal-masculine             dvije tisuće sto štirideset tri
 715  sl        spellout   %spellout-cardinal-neuter                dvije tisuće sto štirideset tri
 716  sl        spellout   %spellout-numbering                      dvije tisuće sto štirideset tri
 717  sl        spellout   %spellout-numbering-year                 dvije tisuće sto štirideset tri
 718  sl        ordinal    %digits-ordinal                          2.143.
 719  sq        spellout   %spellout-cardinal-feminine              dy mijë e njëqind e dyzet e tri
 720  sq        spellout   %spellout-cardinal-masculine             dy mijë e njëqind e dyzet e tre
 721  sq        spellout   %spellout-numbering                      dy mijë e njëqind e dyzet e tre
 722  sq        spellout   %spellout-numbering-year                 dy mijë e njëqind e dyzet e tre
 723  sq        ordinal    %digits-ordinal                          2 143.
 724  sr        spellout   %spellout-cardinal-feminine              две хиљада сто четрдесет и три
 725  sr        spellout   %spellout-cardinal-masculine             две хиљада сто четрдесет и три
 726  sr        spellout   %spellout-cardinal-neuter                две хиљада сто четрдесет и три
 727  sr        spellout   %spellout-numbering                      две хиљада сто четрдесет и три
 728  sr        spellout   %spellout-numbering-year                 две хиљада сто четрдесет и три
 729  sr        spellout   %spellout-ordinal                        двадесет и једнасто четрдесет и трећи
 730  sr        ordinal    %digits-ordinal                          2.143.
 731  sr-Cyrl   spellout   %spellout-cardinal-feminine              две хиљада сто четрдесет и три
 732  sr-Cyrl   spellout   %spellout-cardinal-masculine             две хиљада сто четрдесет и три
 733  sr-Cyrl   spellout   %spellout-cardinal-neuter                две хиљада сто четрдесет и три
 734  sr-Cyrl   spellout   %spellout-numbering                      две хиљада сто четрдесет и три
 735  sr-Cyrl   spellout   %spellout-numbering-year                 две хиљада сто четрдесет и три
 736  sr-Cyrl   spellout   %spellout-ordinal                        двадесет и једнасто четрдесет и трећи
 737  sr-Cyrl   ordinal    %digits-ordinal                          2.143.
 738  sr-Latn   spellout   %spellout-cardinal-feminine              dve hiljada sto četrdeset i tri
 739  sr-Latn   spellout   %spellout-cardinal-masculine             dve hiljada sto četrdeset i tri
 740  sr-Latn   spellout   %spellout-cardinal-neuter                dve hiljada sto četrdeset i tri
 741  sr-Latn   spellout   %spellout-numbering                      dve hiljada sto četrdeset i tri
 742  sr-Latn   spellout   %spellout-numbering-year                 dve hiljada sto četrdeset i tri
 743  sr-Latn   spellout   %spellout-ordinal                        dvadeset i jednasto četrdeset i treći
 744  sr-Latn   ordinal    %digits-ordinal                          2.143.
 745  su        spellout   %spellout-cardinal                       dua rebu saratus opat puluh tilu
 746  su        spellout   %spellout-numbering                      dua rebu saratus opat puluh tilu
 747  su        spellout   %spellout-numbering-year                 dua rebu saratus opat puluh tilu
 748  su        spellout   %spellout-ordinal                        kadua rebu saratus opat puluh tilu
 749  su        ordinal    %digits-ordinal                          2.143.
 750  su-Latn   spellout   %spellout-cardinal                       dua rebu saratus opat puluh tilu
 751  su-Latn   spellout   %spellout-numbering                      dua rebu saratus opat puluh tilu
 752  su-Latn   spellout   %spellout-numbering-year                 dua rebu saratus opat puluh tilu
 753  su-Latn   spellout   %spellout-ordinal                        kadua rebu saratus opat puluh tilu
 754  su-Latn   ordinal    %digits-ordinal                          2.143.
 755  sv        spellout   %spellout-cardinal-feminine              två­tusen ett­hundra­fyrtio­tre
 756  sv        spellout   %spellout-cardinal-masculine             två­tusen ett­hundra­fyrtio­tre
 757  sv        spellout   %spellout-cardinal-neuter                två­tusen ett­hundra­fyrtio­tre
 758  sv        spellout   %spellout-cardinal-reale                 två­tusen ett­hundra­fyrtio­tre
 759  sv        spellout   %spellout-numbering                      två­tusen ett­hundra­fyrtio­tre
 760  sv        spellout   %spellout-numbering-year                 tjugo­ett­hundra­fyrtio­tre
 761  sv        spellout   %spellout-ordinal-feminine               två­tusen ett­hundra fyrtio­tredje
 762  sv        spellout   %spellout-ordinal-masculine              två­tusen ett­hundra fyrtio­tredje
 763  sv        spellout   %spellout-ordinal-neuter                 två­tusen ett­hundra fyrtio­tredje
 764  sv        spellout   %spellout-ordinal-reale                  två­tusen ett­hundra fyrtio­tredje
 765  sv        ordinal    %digits-ordinal                          2 143:e
 766  sv        ordinal    %digits-ordinal-feminine                 2 143:e
 767  sv        ordinal    %digits-ordinal-masculine                2 143:e
 768  sv        ordinal    %digits-ordinal-neuter                   2 143:e
 769  sv        ordinal    %digits-ordinal-reale                    2 143:e
 770  sw        spellout   %spellout-cardinal                       elfu mbili, mia moja na arobaini na tatu
 771  sw        spellout   %spellout-numbering                      elfu mbili, mia moja na arobaini na tatu
 772  sw        spellout   %spellout-numbering-year                 elfu mbili, mia moja na arobaini na tatu
 773  sw        spellout   %spellout-ordinal                        wa elfu mbili, mia moja na arobaini na tatu
 774  sw        ordinal    %digits-ordinal                          2,143.
 775  ta        spellout   %spellout-cardinal                       இரண்டு ஆயிரம் நூறு நாற்பது மூன்று
 776  ta        spellout   %spellout-numbering                      இரண்டு ஆயிரம் நூறு நாற்பது மூன்று
 777  ta        spellout   %spellout-numbering-year                 இரண்டு ஆயிரம் நூறு நாற்பது மூன்று
 778  ta        spellout   %spellout-ordinal                        2,143ாவது
 779  ta        ordinal    %digits-ordinal                          2,143.
 780  th        spellout   %spellout-cardinal                       สอง​พัน​หนึ่ง​ร้อย​สี่​สิบ​สาม
 781  th        spellout   %spellout-numbering                      สอง​พัน​หนึ่ง​ร้อย​สี่​สิบ​สาม
 782  th        spellout   %spellout-numbering-year                 สอง​พัน​หนึ่ง​ร้อย​สี่​สิบ​สาม
 783  th        spellout   %spellout-ordinal                        ที่​สอง​พัน​หนึ่ง​ร้อย​สี่​สิบ​สาม
 784  th        ordinal    %digits-ordinal                          ที่ 2,143
 785  tr        spellout   %spellout-cardinal                       iki bin yüz kırk üç
 786  tr        spellout   %spellout-numbering                      iki bin yüz kırk üç
 787  tr        spellout   %spellout-numbering-year                 iki bin yüz kırk üç
 788  tr        spellout   %spellout-ordinal                        iki bin yüz kırk üçüncü
 789  tr        ordinal    %digits-ordinal                          2.143.
 790  uk        spellout   %spellout-cardinal-feminine              дві тисячі сто сорок три
 791  uk        spellout   %spellout-cardinal-masculine             дві тисячі сто сорок три
 792  uk        spellout   %spellout-cardinal-neuter                дві тисячі сто сорок три
 793  uk        spellout   %spellout-numbering                      дві тисячі сто сорок три
 794  uk        spellout   %spellout-numbering-year                 дві тисячі сто сорок три
 795  uk        ordinal    %digits-ordinal                          2 143-ій
 796  uk        ordinal    %digits-ordinal-feminine                 2 143-я
 797  uk        ordinal    %digits-ordinal-masculine                2 143-ій
 798  uk        ordinal    %digits-ordinal-neuter                   2 143-є
 799  vec       spellout   %spellout-cardinal-feminine              du­miła­sento­cuaranta­trè
 800  vec       spellout   %spellout-cardinal-masculine             du­miła­sento­cuaranta­trè
 801  vec       spellout   %spellout-numbering                      du­miła­sento­cuaranta­trè
 802  vec       spellout   %spellout-numbering-year                 du­miła­sento­cuaranta­trè
 803  vec       spellout   %spellout-ordinal-feminine               do­miła­sento­cuaranta­treèzema
 804  vec       spellout   %spellout-ordinal-masculine              du­miła­sento­cuaranta­treèzemo
 805  vec       ordinal    %digits-ordinal                          2 143.
 806  vi        spellout   %spellout-cardinal                       hai nghìn một trăm bốn mươi ba
 807  vi        spellout   %spellout-numbering                      hai nghìn một trăm bốn mươi ba
 808  vi        spellout   %spellout-numbering-year                 hai nghìn một trăm bốn mươi ba
 809  vi        spellout   %spellout-ordinal                        thứ hai nghìn một trăm bốn mươi ba
 810  vi        ordinal    %digits-ordinal                          thứ 2.143
 811  yue       spellout   %spellout-cardinal                       二千一百四十三
 812  yue       spellout   %spellout-cardinal-alternate2            二千一百四十三
 813  yue       spellout   %spellout-cardinal-financial             貳仟壹佰肆拾叁
 814  yue       spellout   %spellout-numbering                      二千一百四十三
 815  yue       spellout   %spellout-numbering-year                 二一四三
 816  yue       spellout   %spellout-ordinal                        第二千一百四十三
 817  yue       ordinal    %digits-ordinal                          第2,143
 818  yue-Hans  spellout   %spellout-cardinal                       二千一百四十三
 819  yue-Hans  spellout   %spellout-cardinal-alternate2            二千一百四十三
 820  yue-Hans  spellout   %spellout-cardinal-financial             贰仟壹佰肆拾叁
 821  yue-Hans  spellout   %spellout-numbering                      二千一百四十三
 822  yue-Hans  spellout   %spellout-numbering-year                 二一四三
 823  yue-Hans  spellout   %spellout-ordinal                        第二千一百四十三
 824  yue-Hans  ordinal    %digits-ordinal                          第2,143
 825  yue-Hant  spellout   %spellout-cardinal                       二千一百四十三
 826  yue-Hant  spellout   %spellout-cardinal-alternate2            二千一百四十三
 827  yue-Hant  spellout   %spellout-cardinal-financial             貳仟壹佰肆拾叁
 828  yue-Hant  spellout   %spellout-numbering                      二千一百四十三
 829  yue-Hant  spellout   %spellout-numbering-year                 二一四三
 830  yue-Hant  spellout   %spellout-ordinal                        第二千一百四十三
 831  yue-Hant  ordinal    %digits-ordinal                          第2,143
 832  zh        spellout   %spellout-cardinal                       二千一百四十三
 833  zh        spellout   %spellout-cardinal-alternate2            两千一百四十三
 834  zh        spellout   %spellout-cardinal-financial             贰仟壹佰肆拾叁
 835  zh        spellout   %spellout-numbering                      二千一百四十三
 836  zh        spellout   %spellout-numbering-days                 二千一百四十三
 837  zh        spellout   %spellout-numbering-year                 二一四三
 838  zh        spellout   %spellout-ordinal                        第二千一百四十三
 839  zh        ordinal    %digits-ordinal                          第2,143
 840  zh-Hans   spellout   %spellout-cardinal                       二千一百四十三
 841  zh-Hans   spellout   %spellout-cardinal-alternate2            两千一百四十三
 842  zh-Hans   spellout   %spellout-cardinal-financial             贰仟壹佰肆拾叁
 843  zh-Hans   spellout   %spellout-numbering                      二千一百四十三
 844  zh-Hans   spellout   %spellout-numbering-days                 二千一百四十三
 845  zh-Hans   spellout   %spellout-numbering-year                 二一四三
 846  zh-Hans   spellout   %spellout-ordinal                        第二千一百四十三
 847  zh-Hans   ordinal    %digits-ordinal                          第2,143
 848  zh-Hant   spellout   %spellout-cardinal                       二千一百四十三
 849  zh-Hant   spellout   %spellout-cardinal-alternate2            兩千一百四十三
 850  zh-Hant   spellout   %spellout-cardinal-financial             貳仟壹佰肆拾參
 851  zh-Hant   spellout   %spellout-numbering                      二千一百四十三
 852  zh-Hant   spellout   %spellout-numbering-year                 二一四三
 853  zh-Hant   spellout   %spellout-ordinal                        第二千一百四十三
 854  zh-Hant   ordinal    %digits-ordinal                          第2,143
